source_system,prod_date,shift_code,machine_id,operator_id,product_code,batch_id,planned_units,good_units,downtime_min,changeover_min,overtime_min,speed_rpm,pressure_bar,vibration_mm_s,oil_temp_c,torque_nm,ambient_temp_c,ambient_humidity_pct,actual_cycle_time_sec,scrap_pct,rework_min,defect_flag
QMS,22-07-2025,A,MCH-022,OP-0101,ACP-109,LOT-718046,129.00,123.00,46.40,10.00,20.00,3172.00,9.14,2.82,56.00,52.60,33.80,37.90,91.68,0.46,0.00,0
QMS,06-07-2025,B,MCH-002,OP-0068,ACP-115,LOT-498674,124.00,114.00,51.50,15.20,36.00,3507.00,11.60,2.69,76.50,52.80,34.00,46.30,51.61,2.84,6.20,0
QMS,23-01-2026,A,MCH-019,OP-0113,ACP-113,LOT-480384,126.00,121.00,7.00,9.70,31.00,3564.00,11.60,4.37,62.70,47.90,33.20,70.60,70.28,3.53,11.90,0
QMS,24-08-2025,c,MCH-021,OP-0016,ACP-113,LOT-345590,125.00,121.00,31.70,8.10,0.00,2678.00,8.84,2.96,67.50,51.40,34.60,54.80,80.24,0.31,7.10,0
QMS,24-12-2025,A,MCH-008,OP-0063,ACP-116,LOT-933910,120.00,114.00,19.30,8.10,10.00,1901.00,10.16,2.22,66.70,58.10,25.90,72.20,76.95,3.14,0.00,0
QMS,08-10-2025,C,MCH-019,OP-0176,ACP-104,LOT-959319,90.00,86.00,24.70,15.80,0.00,3117.00,8.07,0.77,88.60,36.10,29.20,78.40,77.59,1.30,0.00,0
QMS,24-11-2025,C,MCH-015,OP-0177,ACP-107,LOT-193543,104.00,97.00,58.20,11.10,30.00,3943.00,8.90,2.46,83.50,49.20,38.40,51.80,75.95,0.00,0.00,0
QMS,28-10-2025,B,MCH-015,OP-0080,ACP-110,LOT-973379,66.00,63.00,9.10,13.40,0.00,3822.00,8.84,4.57,70.30,51.80,31.80,54.80,61.77,3.32,0.00,0
QMS,28-09-2025,B,MCH-021,OP-0136,ACP-111,LOT-597805,104.00,103.00,0.80,14.80,23.00,2472.00,9.14,3.71,61.60,59.30,26.90,36.80,86.55,0.71,0.10,0
QMS,14-11-2025,B,MCH-009,OP-0034,ACP-119,LOT-651430,107.00,97.00,14.40,14.20,20.00,1847.00,9.50,2.12,68.60,46.40,36.30,39.70,96.27,7.31,20.50,1
QMS,23-07-2025,C,MCH-008,OP-0180,ACP-118,LOT-708255,81.00,79.00,12.20,11.50,23.00,2017.00,8.94,2.95,66.90,49.00,37.10,82.50,82.96,0.13,24.30,0
QMS,23-09-2025,B,MCH-017,OP-0065,ACP-119,LOT-283591,101.00,95.00,35.70,24.80,59.00,3360.00,9.97,3.26,81.80,60.80,38.70,82.20,93.67,1.19,1.50,0
QMS,27-07-2025,C,MCH-013,OP-0067,ACP-106,LOT-947625,80.00,72.00,34.30,14.10,36.00,3512.00,8.12,5.04,90.70,32.00,24.50,44.60,64.06,4.17,0.00,0
QMS,29-10-2025,C,MCH-011,OP-0008,ACP-109,LOT-937613,119.00,110.00,27.10,14.40,13.00,3026.00,10.89,3.17,70.50,64.90,31.60,74.30,85.47,4.68,14.00,0
QMS,25-10-2025,C,MCH-019,OP-0069,ACP-116,LOT-467906,61.00,58.00,5.40,6.80,39.00,3215.00,8.63,2.52,74.70,41.20,26.80,60.10,90.58,4.50,33.30,1
QMS,01-01-2026,C,MCH-022,OP-0075,ACP-119,LOT-429563,117.00,109.00,14.30,0.40,3.00,3633.00,9.63,3.58,85.20,64.10,30.70,52.50,98.32,5.36,23.90,1
QMS,04-07-2025,B,MCH-005,OP-0176,ACP-108,LOT-909920,110.00,102.00,5.10,33.70,0.00,3332.00,9.33,3.92,72.30,66.50,34.40,76.80,42.81,6.57,49.80,1
QMS,03-12-2025,B,MCH-001,OP-0066,ACP-117,LOT-535806,68.00,62.00,25.70,20.20,60.00,3061.00,10.93,4.07,60.30,47.20,26.00,37.80,63.09,3.95,34.40,1
QMS,21-11-2025,A,MCH-017,OP-0161,ACP-105,LOT-344434,58.00,53.00,26.70,14.50,0.00,3677.00,9.44,4.05,66.60,63.40,29.20,79.20,79.61,3.07,7.20,0
QMS,01-11-2025,B,MCH-001,OP-0166,ACP-103,LOT-763865,94.00,83.00,31.70,9.60,0.00,3359.00,11.40,5.72,67.60,47.10,31.30,71.80,44.76,7.23,39.70,1
QMS,09-01-2026,C,MCH-016,OP-0157,ACP-113,LOT-114536,124.00,122.00,10.90,18.20,75.00,1222.00,10.19,1.70,61.10,42.80,35.30,45.60,64.60,0.47,13.30,0
QMS,14-12-2025,A,MCH-009,OP-0116,ACP-106,LOT-767535,82.00,79.00,1.00,6.90,53.00,1878.00,8.77,3.00,68.10,56.10,31.90,79.30,60.79,4.09,3.00,0
QMS,10-09-2025,B,MCH-002,OP-0095,ACP-111,LOT-692689,67.00,64.00,20.40,19.00,16.00,3548.00,9.57,3.14,54.00,62.00,25.30,39.90,84.42,0.50,7.50,0
QMS,02-09-2025,A,MCH-019,OP-0114,ACP-106,LOT-513363,123.00,111.00,32.50,26.90,53.00,3449.00,9.75,1.61,49.90,39.90,37.50,69.50,62.70,6.23,40.20,1
QMS,12-05-2025,B,MCH-020,OP-0175,ACP-107,LOT-596417,98.00,91.00,13.20,11.20,6.00,3191.00,10.61,1.81,67.20,30.60,33.40,78.30,62.34,5.69,9.90,0
QMS,22-01-2026,A,MCH-015,OP-0171,ACP-101,LOT-584753,79.00,70.00,10.30,27.50,39.00,3744.00,9.99,2.84,65.70,54.00,39.00,61.10,66.64,10.09,18.40,1
QMS,09-09-2025,B,MCH-016,OP-0015,ACP-114,LOT-317838,80.00,70.00,47.00,9.30,24.00,1150.00,9.56,2.71,83.80,71.30,29.90,72.70,61.99,5.45,34.50,1
QMS,26-11-2025,B,MCH-008,OP-0026,ACP-111,LOT-975539,50.00,48.00,0.60,5.80,9.00,2069.00,8.96,2.53,63.50,51.30,30.40,67.90,77.74,3.37,2.00,0
QMS,12-08-2025,B,MCH-011  ,OP-0092,ACP-109,LOT-550069,115.00,114.00,6.40,20.20,31.00,2972.00,10.33,1.00,70.60,67.10,37.70,73.60,101.58,0.33,3.40,0
QMS,22-11-2025,A,MCH-003,OP-0096,ACP-113,LOT-545846,86.00,81.00,23.90,11.00,0.00,2406.00,9.41,1.81,64.10,64.80,33.90,50.10,77.26,2.92,0.00,0
QMS,31-08-2025,A,MCH-001,OP-0122,ACP-109,LOT-648637,113.00,107.00,29.70,20.30,2.00,3275.00,9.01,2.46,51.30,62.30,32.20,78.10,105.41,1.63,0.00,0
QMS,16-12-2025,A,MCH-013,OP-0117,ACP-102,LOT-735623,64.00,58.00,18.30,0.80,0.00,3566.00,8.67,2.85,67.40,49.70,35.40,61.60,67.34,6.47,28.90,1
QMS,30-11-2025,C,MCH-008,OP-0073,ACP-111,LOT-521875,51.00,46.00,28.80,7.10,11.00,1894.00,10.93,3.49,69.90,43.80,30.90,70.60,87.20,2.65,8.70,0
QMS,01-07-2025,A,MCH-013,OP-0085,ACP-112,LOT-291078,45.00,44.00,0.20,25.40,31.00,3410.00,8.17,2.82,63.00,53.40,24.40,55.40,67.92,2.54,4.10,0
QMS,07-12-2025,B,MCH-013,OP-0149,ACP-114,LOT-470614,97.00,91.00,32.30,15.00,0.00,3452.00,10.33,2.33,66.10,37.80,37.40,54.80,50.34,1.92,1.40,0
QMS,31-07-2025,B,MCH-001,OP-0035,ACP-105,LOT-657324,122.00,109.00,49.10,27.00,35.00,3033.00,9.82,3.56,76.40,61.80,24.60,80.70,95.77,5.34,4.40,0
QMS,20-08-2025,B,MCH-022,OP-0049,ACP-107,LOT-321498,107.00,101.00,32.40,5.70,0.00,3088.00,9.20,3.44,65.50,46.90,28.30,45.40,65.95,1.51,1.40,0
QMS,01-11-2025,C,MCH-019,OP-0049,ACP-106,LOT-260287,102.00,97.00,27.80,35.60,1.00,3377.00,9.01,2.02,79.40,49.90,31.30,71.80,73.97,1.27,3.60,0
QMS,04-11-2025,B,MCH-002,OP-0054,ACP-111,LOT-233331,88.00,82.00,14.20,34.80,19.00,3684.00,9.82,5.49,69.90,49.40,25.00,44.40,101.30,4.39,0.00,0
QMS,08-11-2025,B,MCH-017,OP-0003,ACP-101,LOT-429564,54.00,50.00,27.90,19.50,21.00,3264.00,9.21,0.40,77.50,42.40,24.80,80.90,75.39,0.74,16.90,0
QMS,10-09-2025,C,MCH-004,OP-0002,ACP-101,LOT-802342,92.00,79.00,41.60,13.50,30.00,3530.00,9.17,3.93,82.20,45.20,25.30,39.90,73.87,8.28,47.50,1
QMS,09-01-2026,B ,MCH-011,OP-0047,ACP-101,LOT-503708,77.00,72.00,4.80,16.30,0.00,3102.00,10.89,4.22,59.90,56.30,35.30,45.60,69.67,6.20,36.60,1
QMS,13-11-2025,B,MCH-011,OP-0179,ACP-117,LOT-377067,54.00,51.00,0.20,22.40,28.00,3001.00,9.63,4.38,77.70,38.10,24.90,84.30,59.04,5.50,36.70,1
QMS,23-10-2025,A,MCH-004,OP-0101,ACP-114,LOT-704003,68.00,63.00,21.00,14.50,46.00,3570.00,9.81,3.52,79.90,38.50,26.50,40.90,52.35,3.80,0.00,0
QMS,06-12-2025,A,MCH-011,OP-0148,ACP-108,LOT-812720,103.00,98.00,17.70,8.50,6.00,3076.00,8.92,1.49,77.70,41.30,35.20,36.50,39.47,2.63,14.90,0
QMS,27-08-2025,A,MCH-012,OP-0152,ACP-105,LOT-173312,114.00,110.00,12.10,1.70,14.00,1554.00,10.89,5.48,65.60,52.50,36.60,44.40,84.39,2.30,0.00,0
QMS,30-09-2025,A,MCH-008,OP-0049,ACP-116,LOT-946640,71.00,69.00,5.50,9.70,0.00,1950.00,11.14,1.50,43.20,32.40,37.70,67.00,86.18,2.46,6.80,0
QMS,14-10-2025,B,MCH-014,OP-0125,ACP-120,LOT-190256,104.00,101.00,1.00,9.10,52.00,1775.00,10.04,1.84,90.10,43.10,35.60,81.90,101.19,3.17,18.90,0
QMS,26-07-2025,C,MCH-005,OP-0111,ACP-117,LOT-750995,129.00,120.00,13.00,8.60,0.00,3441.00,11.37,2.48,53.90,23.80,30.50,69.10,64.75,5.33,29.00,1
QMS,06-09-2025,C,MCH-021,OP-0171,ACP-119,LOT-146857,54.00,43.00,56.60,10.50,60.00,2262.00,9.20,1.61,86.00,32.40,30.80,81.20,92.36,7.87,13.80,1
QMS,22-12-2025,C,MCH-019,OP-0003,ACP-104,LOT-370415,76.00,73.00,21.50,27.60,99.00,3333.00,10.81,1.62,57.50,46.70,28.10,70.50,91.35,0.00,4.90,0
QMS,24-11-2025,C,MCH-006,OP-0179,ACP-101,LOT-443160,45.00,44.00,5.60,11.30,5.00,2242.00,9.38,2.06,56.70,55.50,38.40,51.80,81.25,0.67,4.40,0
QMS,14-01-2026,B,MCH-010,OP-0069,ACP-107,LOT-276527,59.00,54.00,24.00,2.60,0.00,3198.00,9.27,0.79,68.70,52.80,28.50,38.70,65.35,3.25,4.90,0
QMS,09-11-2025,B,MCH-018,OP-0050,ACP-117,LOT-281340,114.00,105.00,12.30,6.90,15.00,3499.00,11.34,,67.40,51.50,38.70,84.20,64.08,6.86,27.10,1
QMS,12-07-2025,B,MCH-011,OP-0096,ACP-118,LOT-426927,114.00,101.00,49.60,3.90,57.00,2940.00,9.40,2.59,87.70,44.90,27.20,50.70,76.46,5.70,55.20,1
QMS,10-08-2025,C,MCH-012,OP-0118,ACP-114,LOT-792506,124.00,115.00,8.20,29.00,0.00,1589.00,8.75,2.82,62.10,66.00,26.30,47.70,53.47,6.72,36.40,1
QMS,09-09-2025,B,MCH-018,OP-0086,ACP-112,LOT-542418,98.00,89.00,11.30,5.40,0.00,3640.00,7.80,3.46,76.30,46.10,29.90,72.70,50.56,7.30,42.90,1
QMS,18-09-2025,C,MCH-002,OP-0134,ACP-109,LOT-842652,126.00,121.00,42.50,5.90,61.00,3579.00,9.81,2.96,72.60,34.20,27.10,75.10,70.19,0.00,7.60,0
QMS,27-01-2026,A,MCH-012,OP-0061,ACP-113,LOT-828376,107.00,106.00,0.60,37.50,23.00,1507.00,8.67,2.33,60.00,68.40,30.90,43.50,66.73,1.31,0.20,0
QMS,23-11-2025,C,MCH-018  ,OP-0010,ACP-105,LOT-320197,55.00,53.00,8.20,10.10,14.00,3407.00,11.97,3.66,73.10,41.10,34.10,73.50,80.77,2.57,69.30,1
QMS,03-01-2026,B,MCH-013,OP-0099,ACP-105,LOT-502548,84.00,79.00,24.00,3.20,24.00,3746.00,11.71,2.79,67.30,48.40,27.60,42.10,89.30,2.19,14.40,0
QMS,20-01-2026,B,MCH-013,OP-0092,ACP-112,LOT-653551,78.00,73.00,21.70,12.10,0.00,3348.00,6.50,2.14,78.70,63.50,33.60,79.10,51.01,2.58,21.30,0
QMS,04-11-2025,C,MCH-016,OP-0073,ACP-109,LOT-348896,53.00,50.00,11.20,9.60,15.00,1235.00,11.60,2.94,66.10,43.90,25.00,44.40,85.12,2.80,13.00,0
QMS,24-09-2025,A,MCH-002,OP-0140,ACP-119,LOT-540604,55.00,50.00,25.80,16.70,31.00,3510.00,8.94,4.64,81.40,65.20,27.50,55.10,87.24,4.04,16.40,1
QMS,20-10-2025,A,MCH-019,OP-0154,ACP-103,LOT-367671,126.00,119.00,25.10,10.40,39.00,3653.00,11.18,2.43,71.40,53.30,30.50,76.00,44.43,2.80,0.00,0
QMS,03-12-2025,C,MCH-016,OP-0085,ACP-103,LOT-280486,124.00,117.00,24.90,9.40,23.00,1211.00,10.97,3.89,57.20,58.00,26.00,37.80,38.05,2.99,11.40,0
QMS,06-12-2025,A,MCH-012,OP-0044,ACP-114,LOT-166148,128.00,119.00,29.90,10.20,0.00,1630.00,11.28,1.93,52.00,54.70,35.20,36.50,59.26,4.07,3.40,0
QMS,29-09-2025,A,MCH-013,OP-0075,ACP-119,LOT-672582,83.00,77.00,40.20,20.90,10.00,3781.00,11.78,3.14,84.50,48.80,32.50,43.10,94.96,1.41,11.40,0
QMS,22-07-2025,C,MCH-019,OP-0132,ACP-112,LOT-533603,76.00,70.00,20.20,6.60,23.00,3652.00,8.53,3.44,67.60,70.60,33.80,37.90,58.25,4.97,71.90,1
QMS,20-09-2025,B,MCH-009,OP-0099,ACP-114,LOT-763382,122.00,114.00,14.60,19.30,26.00,1954.00,8.65,2.07,67.50,61.00,27.30,48.70,48.58,5.04,38.00,1
QMS,10-04-2025,C,MCH-020,OP-0144,ACP-102,LOT-160876,61.00,53.00,33.80,21.40,7.00,2970.00,10.69,2.68,70.30,30.90,36.00,77.50,66.98,5.65,31.70,1
QMS,14-11-2025,C,MCH-002,OP-0020,ACP-102,LOT-853767,83.00,79.00,20.20,23.80,90.00,3748.00,9.92,1.97,67.70,46.40,36.30,39.70,80.49,2.15,0.00,0
QMS,04-11-2025,A,MCH-006,OP-0171,ACP-102,LOT-960842,109.00,105.00,14.90,1.60,6.00,2148.00,10.54,2.08,69.10,61.30,25.00,44.40,71.13,1.94,0.00,0
QMS,23-01-2026,A,MCH-020,OP-0014,ACP-110,LOT-371825,52.00,48.00,23.10,2.70,37.00,2930.00,9.42,3.09,53.40,23.40,33.20,70.60,54.00,1.39,3.80,0
QMS,24-11-2025,A,MCH-017,OP-0121,ACP-110,LOT-977025,67.00,61.00,32.30,12.20,5.00,3491.00,10.77,5.03,76.50,42.00,38.40,51.80,60.15,3.03,5.50,0
QMS,08-09-2025,A,MCH-021,OP-0002,ACP-102,LOT-238893,75.00,69.00,2.00,6.10,38.00,2716.00,8.37,3.61,69.60,64.70,29.40,71.50,68.48,8.07,50.20,1
QMS,18-12-2025,A,MCH-005,OP-0075,ACP-120,LOT-577171,128.00,119.00,55.70,1.20,0.00,3618.00,11.96,3.15,74.40,55.70,26.60,47.30,89.71,1.81,9.10,0
QMS,04-10-2025,C,MCH-021,OP-0075,ACP-114,LOT-938586,127.00,119.00,11.00,15.00,74.00,2449.00,12.52,4.81,63.10,45.60,36.00,77.50,52.59,5.46,3.30,0
QMS,09-12-2025,C,MCH-007,OP-0090,ACP-111,LOT-487491,64.00,59.00,41.60,8.80,33.00,3924.00,7.82,1.54,68.00,60.50,35.70,45.00,98.12,0.33,0.00,0
QMS,12-07-2025,B,MCH-014,OP-0083,ACP-102,LOT-937846,119.00,117.00,3.60,5.90,3.00,1715.00,11.52,4.73,55.20,78.00,27.20,50.70,71.30,1.45,8.10,0
QMS,13-12-2025,a,MCH-003,OP-0014,ACP-101,LOT-282892,97.00,92.00,36.20,17.10,7.00,2504.00,7.89,2.67,78.10,40.70,28.40,72.30,83.73,0.78,12.30,0
QMS,13-11-2025,B,MCH-002,OP-0171,ACP-108,LOT-357379,88.00,81.00,48.20,4.20,0.00,3635.00,10.44,3.46,67.00,37.20,24.90,84.30,38.35,1.12,7.70,0
QMS,16-07-2025,C,MCH-009,OP-0103,ACP-106,LOT-678619,62.00,61.00,0.40,38.90,9.00,1782.00,8.75,3.94,46.40,72.60,25.50,81.90,63.90,1.85,21.20,0
QMS,19-09-2025,A,MCH-015,OP-0164,ACP-103,LOT-150689,72.00,67.00,24.40,1.80,21.00,3736.00,10.31,3.70,64.80,64.10,38.60,48.30,45.88,2.64,3.30,0
QMS,28-09-2025,A,MCH-007,OP-0029,ACP-107,LOT-314286,91.00,87.00,12.80,1.20,2.00,3484.00,8.42,2.69,71.50,48.50,26.90,36.80,59.77,2.23,0.00,0
QMS,26-07-2025,A,MCH-019,OP-0069,ACP-120,LOT-737831,58.00,54.00,4.60,2.20,47.00,3301.00,10.25,4.13,81.30,52.70,30.50,69.10,92.13,6.13,8.10,0
QMS,13-12-2025,B,MCH-005,OP-0047,ACP-115,LOT-219229,84.00,79.00,20.50,11.60,99.00,3759.00,9.59,2.64,54.90,62.10,28.40,72.30,53.21,2.55,30.60,1
QMS,11-11-2025,C,MCH-022,OP-0175,ACP-106,LOT-428541,56.00,51.00,10.90,9.80,14.00,3715.00,9.51,2.63,79.80,62.20,37.50,66.90,65.02,6.17,50.50,1
QMS,17-08-2025,C,MCH-017,OP-0087,ACP-115,LOT-601223,52.00,49.00,12.20,15.70,0.00,3191.00,10.19,3.07,74.50,63.00,38.50,63.60,56.21,3.09,19.30,0
QMS,24-11-2025,A,MCH-013,OP-0029,ACP-110,LOT-782769,58.00,57.00,7.70,9.30,9.00,3591.00,7.92,3.74,64.00,42.20,38.40,51.80,53.58,0.00,16.60,0
QMS,30-10-2025,B,MCH-008,OP-0087,ACP-114,LOT-569657,109.00,101.00,36.80,21.00,18.00,1774.00,10.48,1.93,76.10,48.80,30.60,80.70,58.12,3.21,0.00,0
QMS,27-07-2025,A,MCH-008,OP-0043,ACP-105,LOT-164493,90.00,85.00,8.80,9.50,48.00,2002.00,9.46,2.07,70.90,75.40,24.50,44.60,101.77,4.16,2.60,0
QMS,02-11-2025,A,MCH-002,OP-0106,ACP-101,LOT-631874,115.00,112.00,11.50,8.00,0.00,3491.00,8.10,1.06,63.10,59.80,31.20,68.90,79.83,1.73,5.70,0
QMS,06-11-2025,C,MCH-010,OP-0094,ACP-112,LOT-513139,104.00,102.00,5.00,14.10,0.00,3179.00,10.55,2.80,78.00,72.00,27.40,83.00,62.74,1.23,6.70,0
QMS,10-08-2025,B,MCH-004,OP-0140,ACP-120,LOT-454647,48.00,40.00,41.70,7.80,0.00,3787.00,9.12,4.40,80.60,54.40,26.30,47.70,102.35,6.63,25.10,1
QMS,29-12-2025,B,MCH-013,OP-0068,ACP-103,LOT-399145,70.00,67.00,10.80,0.60,0.00,3774.00,9.74,6.99,55.40,45.90,35.70,45.10,31.38,2.67,14.50,0
QMS,08-12-2025,B,MCH-003,OP-0039,ACP-110,LOT-835373,74.00,70.00,17.30,28.80,0.00,2404.00,10.16,3.43,71.30,40.60,28.10,82.30,65.64,2.40,19.00,0
QMS,25-10-2025,B,MCH-019,OP-0096,ACP-114,LOT-678387,128.00,117.00,21.10,6.00,24.00,3586.00,9.72,5.11,66.60,47.00,26.80,60.10,56.46,6.37,36.10,1
